directory	direct_tracked_files	inspection	inventory_ids
docs/performance/2026-09-06-cell-git/evidence/verification/5afde02e861b9edf0f6dc60bf4a99ea9312748b7	10	Required September reports/guides read; raw artifacts enumerated, not recaptured/recomputed	B0-B3
docs/performance/2026-09-06-cell-git/evidence/verification/a5480e249fba6735e91f9c795d209c288bd2bafd	10	Required September reports/guides read; raw artifacts enumerated, not recaptured/recomputed	B0-B3
docs/performance/2026-09-06-spawn-cells	6	Required September reports/guides read; raw artifacts enumerated, not recaptured/recomputed	B0-B3
docs/performance/2026-09-06-spawn-cells/evidence	15	Required September reports/guides read; raw artifacts enumerated, not recaptured/recomputed	B0-B3
docs/performance/2026-09-06-spawn-cells/evidence/native	1	Required September reports/guides read; raw artifacts enumerated, not recaptured/recomputed	B0-B3
docs/performance/2026-09-06-spawn-cells/evidence/native/cell/after	4	Required September reports/guides read; raw artifacts enumerated, not recaptured/recomputed	B0-B3
docs/performance/2026-09-06-spawn-cells/evidence/native/cell/before	4	Required September reports/guides read; raw artifacts enumerated, not recaptured/recomputed	B0-B3
docs/performance/2026-09-06-spawn-cells/evidence/native/host	1	Required September reports/guides read; raw artifacts enumerated, not recaptured/recomputed	B0-B3
docs/performance/2026-09-06-spawn-cells/evidence/native/host/baseline-cli	8	Required September reports/guides read; raw artifacts enumerated, not recaptured/recomputed	B0-B3
docs/performance/2026-09-06-spawn-cells/evidence/native/host/dedicated-host	8	Required September reports/guides read; raw artifacts enumerated, not recaptured/recomputed	B0-B3
docs/performance/2026-09-06/evidence	23	Required September reports/guides read; raw artifacts enumerated, not recaptured/recomputed	B0-B3
docs/performance/2026-09-06/evidence/profiles	5	Required September reports/guides read; raw artifacts enumerated, not recaptured/recomputed	B0-B3
docs/performance/2026-09-06/evidence/profiles/native-after	8	Required September reports/guides read; raw artifacts enumerated, not recaptured/recomputed	B0-B3
docs/performance/2026-09-06/evidence/profiles/native-before	8	Required September reports/guides read; raw artifacts enumerated, not recaptured/recomputed	B0-B3
docs/performance/2026-09-06/evidence/profiles/native-daemon	12	Required September reports/guides read; raw artifacts enumerated, not recaptured/recomputed	B0-B3
docs/performance/2026-09-06/evidence/verification	17	Required September reports/guides read; raw artifacts enumerated, not recaptured/recomputed	B0-B3
docs/review	8	Paths inventoried; contents not comprehensively inspected	Context only
docs/reviews	4	Paths inventoried; contents not comprehensively inspected	Context only
scripts	15	All scripts indexed; selected ruler/build bodies and guides inspected	P01-P07,I1-I9
scripts/perf	32	All scripts indexed; selected ruler/build bodies and guides inspected	P01-P07,I1-I9
src	112	All source indexed; selected bodies/call paths inspected	L01,P01-P05,S09,X01-X35
src/accounts	18	All source indexed; selected bodies/call paths inspected	X23,X33
src/buz	12	All source indexed; selected bodies/call paths inspected	X15
src/cli	1	All source indexed; selected bodies/call paths inspected	L01,L10,X07
src/comb	14	All source indexed; selected bodies/call paths inspected	X20
src/commands	36	All source indexed; selected bodies/call paths inspected	L10,P02,X01-X35
src/completion	3	All source indexed; selected bodies/call paths inspected	L10
src/daemon	43	All source indexed; selected bodies/call paths inspected	X04-X06,X16,X33,X35
src/execution	26	All source indexed; selected bodies/call paths inspected	X17-X19
src/flight	6	All source indexed; selected bodies/call paths inspected	X22
src/flow	7	All source indexed; selected bodies/call paths inspected	X21
src/hsr	35	All source indexed; selected bodies/call paths inspected	X07-X13
src/hsr/adapters	11	All source indexed; selected bodies/call paths inspected	X07-X13
src/limits	9	All source indexed; selected bodies/call paths inspected	X23
src/loop	11	All source indexed; selected bodies/call paths inspected	X21
src/recovery	6	All source indexed; selected bodies/call paths inspected	X16
src/requests	2	All source indexed; selected bodies/call paths inspected	X29
src/search	3	All source indexed; selected bodies/call paths inspected	X25
src/spend	12	All source indexed; selected bodies/call paths inspected	X26
src/substrates	6	All source indexed; selected bodies/call paths inspected	X10-X14
src/tasks	5	All source indexed; selected bodies/call paths inspected	X15,X21
src/transcripts	10	All source indexed; selected bodies/call paths inspected	X24
src/view	5	All source indexed; selected bodies/call paths inspected	X01
tests	299	Paths inventoried; no test execution or exhaustive body review	Verification targets in inventory
tests/fixtures	8	Paths inventoried; no test execution or exhaustive body review	Verification targets in inventory
v2/adapters	1	Package/tsconfig/smoke role inventoried; no builds or smokes	A01-A05
v2/adapters/src	8	All source indexed; operational bodies inspected selectively	A01-A05
v2/adapters/tests	6	Paths and verification role inventoried; no execution or exhaustive body review	A01-A05
v2/adapters/tests/fixtures	2	Paths and verification role inventoried; no execution or exhaustive body review	A01-A05
v2/cli	2	Package/tsconfig/smoke role inventoried; no builds or smokes	L01-L11
v2/cli/src	8	All source indexed; operational bodies inspected selectively	L01-L11
v2/cli/tests	5	Paths and verification role inventoried; no execution or exhaustive body review	L01-L11
v2/core	2	Package/tsconfig/smoke role inventoried; no builds or smokes	C01-C29
v2/core/src	17	All source indexed; operational bodies inspected selectively	C01-C29
v2/core/tests	23	Paths and verification role inventoried; no execution or exhaustive body review	C01-C29
v2/daemon	2	Package/tsconfig/smoke role inventoried; no builds or smokes	D01-D10,R01-R07,S01-S17,P04-P06,Z01-Z02
v2/daemon/src	27	All source indexed; operational bodies inspected selectively	D01-D10,R01-R07,S01-S17,P04-P06,Z01-Z02
v2/daemon/src/login	6	All source indexed; operational bodies inspected selectively	D01-D10,R01-R07,S01-S17,P04-P06,Z01-Z02
v2/daemon/tests	32	Paths and verification role inventoried; no execution or exhaustive body review	D01-D10,R01-R07,S01-S17,P04-P06,Z01-Z02
v2/daemon/tests/fixtures	2	Paths and verification role inventoried; no execution or exhaustive body review	D01-D10,R01-R07,S01-S17,P04-P06,Z01-Z02
v2/driver-cell	2	Package/tsconfig/smoke role inventoried; no builds or smokes	E01-E12
v2/driver-cell/src	12	All source indexed; operational bodies inspected selectively	E01-E12
v2/driver-cell/test-agent	1	Paths and verification role inventoried; no execution or exhaustive body review	E01-E12
v2/driver-cell/tests	8	Paths and verification role inventoried; no execution or exhaustive body review	E01-E12
v2/driver-cell/tests/fixtures	1	Paths and verification role inventoried; no execution or exhaustive body review	E01-E12
v2/driver-cell/tests/harness	1	Paths and verification role inventoried; no execution or exhaustive body review	E01-E12
v2/driver-hsr	3	Package/tsconfig/smoke role inventoried; no builds or smokes	H01-H10
v2/driver-hsr/src	5	All source indexed; operational bodies inspected selectively	H01-H10
v2/driver-hsr/test-agent	5	Paths and verification role inventoried; no execution or exhaustive body review	H01-H10
v2/driver-hsr/tests	3	Paths and verification role inventoried; no execution or exhaustive body review	H01-H10
v2/driver-hsr/tests/harness	1	Paths and verification role inventoried; no execution or exhaustive body review	H01-H10
v2/driver-tmux	2	Package/tsconfig/smoke role inventoried; no builds or smokes	T01-T07,A06
v2/driver-tmux/src	11	All source indexed; operational bodies inspected selectively	T01-T07,A06
v2/driver-tmux/test-agent	1	Paths and verification role inventoried; no execution or exhaustive body review	T01-T07,A06
v2/driver-tmux/tests	11	Paths and verification role inventoried; no execution or exhaustive body review	T01-T07,A06
v2/driver-tmux/tests/fixtures	2	Paths and verification role inventoried; no execution or exhaustive body review	T01-T07,A06
v2/driver-tmux/tests/harness	1	Paths and verification role inventoried; no execution or exhaustive body review	T01-T07,A06
v2/harness	2	Package/tsconfig/smoke role inventoried; no builds or smokes	P01,Z02
v2/harness/src	9	All source indexed; operational bodies inspected selectively	P01,Z02
v2/harness/tests	3	Paths and verification role inventoried; no execution or exhaustive body review	P01,Z02
